¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,Serial #,Date,Time,Operator,Name,Latitude,Longitude,Altitude,Application,Method,CalFile1,Calfile2,CalFile3,Beam1,Beam2,Beam3,Elapsed,Sigma,Cal Check,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,GeRDA_Sample_Name,GeRDA_X,GeRDA_Y
1,800N11536,2024/03/05,12:02:40,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.5,4.5,4.4,15,3,Passed,8794,3766,0,966,228019,4734,0,123,0,148,0,98,226,52,0,54,10,54,0,44,20,27,13,18,64,19,0,8,17,26,15,15,3,7,0,6,0,115,2,3,0,8,7,10,0,9,0,51,2,33,2546,283,0,15,,,116,132,0,46,0,95,21,22,71,51,18,140,46,457,89,926,0,56,0,99,0,34,19,34,0,12,0,22,0,31,2,45,18,33,2,24,3,32,SiO2 5mm from nose short-beams,42,70
2,800N11536,2024/03/05,12:03:24,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.2,4.1,3.6,15,3,Passed,8127,4208,2889,441,40914,2402,0,387,0,211,0,106,280,65,4,96,110797,2549,441,372,0,94,249,62,10926,232,433,71,228,242,256,131,393,70,121,53,0,599,1,5,0,58,0,34,1570,77,717209,5667,1772,357,0,2726,0,12,0,10,,,0,37,218,255,2,14,1,39,31,106,615,407,7798,2510,910,123,0,209,0,170,71,57,,,0,29,0,169,0,307,2815,906,1058,300,87,103,ZIC 5mm from nose short-beams,42,105
3,800N11536,2024/03/05,12:04:11,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.1,4.5,4.4,15,3,Passed,7789,3990,1739,1144,0,1201,0,160,0,184,0,106,529,62,0,73,91032,1130,0,535,0,40,252,19,287,35,0,13,75,80,0,43,18,17,0,16,108,355,1,3,9,24,11,15,6,11,8143,568,4287,330,0,942,0,11,0,11,0,115,2,38,7,104,6,16,23,42,61,108,79,361,1301,911,7396,72,0,99,0,80,66,28,0,8,8,19,21,95,0,122,76,115,589,105,17,44,Rutile 5mm from nose short-beams,42,140
4,800N11536,2024/03/05,12:04:55,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4,4.5,4.3,15,3,Passed,8550,4141,1443,1145,0,913,0,183,0,199,0,109,290,67,0,90,65237,967,0,460,0,134,798,80,17058,262,0,76,21,100,0,47,103,31,0,21,59,342,1,3,14,27,16,16,7,12,11060,679,1478,212,0,1045,0,11,0,11,,,5,37,0,94,8,15,37,40,83,108,183,356,873,857,3915,72,0,95,0,88,41,29,0,8,22,21,15,87,38,167,132,127,264,121,26,44,23104 2nd Ilmenite 5mm from nose short-beams,42,175
5,800N11536,2024/03/05,12:05:41,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4,4.5,4.4,15,3,Passed,8379,4169,1673,1123,0,823,0,159,0,194,0,108,302,66,0,86,55505,882,0,427,0,62,730,71,23008,303,0,87,35,106,0,47,102,31,0,20,0,418,1,3,12,29,6,12,5,10,5663,521,831,184,0,1101,0,11,0,10,82,105,21,36,0,83,7,15,10,39,67,100,62,320,1102,807,2944,59,0,107,0,89,25,37,0,8,6,24,37,128,0,183,85,173,194,131,8,36,23104 Ilmenite 5mm from nose short-beams,42,210
6,800N11536,2024/03/05,12:06:27,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,3.9,4.5,4.3,15,3,Passed,10459,4500,2261,1259,0,900,0,174,0,209,0,110,325,69,0,88,65696,964,0,471,0,71,787,75,25316,320,0,91,39,100,0,43,91,29,0,18,40,438,1,3,11,28,9,13,16,11,4964,476,895,176,0,1052,0,11,0,11,43,112,0,36,0,90,2,15,17,41,114,106,0,338,368,855,4122,63,0,91,0,85,32,36,0,8,16,23,0,114,0,158,116,227,125,124,23,42,Ilmenite 5mm from nose short-beams,42,245
7,800N11536,2024/03/05,12:07:15,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.3,4.1,3.7,15,3,Passed,8459,3952,86,80,53389,2548,0,343,0,185,0,103,335,63,0,73,149899,3060,779,389,0,57,121,30,628,57,43,26,187,180,282,141,27,41,179,56,84,713,0,4,0,59,9,32,383,42,829472,6663,2845,407,0,3152,0,11,,,0,104,15,34,677,283,3,13,5,36,48,94,0,352,2990,2248,1111,100,0,190,0,192,11,46,,,0,29,5,203,0,280,922,691,504,256,20,80,23104 non-mag con 5mm from nose short-beams,77,70
8,800N11536,2024/03/05,12:08:02,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4,4.5,4.4,15,3,Passed,9627,4231,2571,1256,3687,1388,0,185,0,207,0,108,461,73,0,90,97356,1176,0,556,0,42,278,20,707,54,0,19,79,74,0,42,19,19,0,19,0,307,1,3,14,23,52,20,13,14,7961,522,4499,310,0,794,0,11,0,11,77,121,12,38,49,109,4,16,40,44,70,113,80,371,1811,905,8397,84,0,112,0,89,71,33,0,8,0,23,42,87,53,127,75,92,646,93,26,48,HiTi 5mm from nose short-beams,77,105
9,800N11536,2024/03/05,12:08:46,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.4,3.8,3.3,15,3,Passed,9775,3860,0,0,91421,3133,0,521,0,195,0,101,298,59,0,71,76600,2961,0,259,0,79,29,43,761,69,56,34,346,309,2040,246,65,68,385,92,229,793,1,5,10,79,0,36,818,61,1000000,9073,1176,447,0,4046,0,11,,,,,0,32,560,365,1,13,0,36,53,91,307,444,6603,3788,398,49,375,267,0,254,,,0,14,0,35,68,268,0,383,2237,741,921,365,106,106,2408 Reup NM 5mm from nose short-beams,77,140
10,800N11536,2024/03/05,12:09:32,REMOTE,,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.5,3.6,2.9,15,3,Passed,9631,4009,0,0,42120,2265,0,759,0,216,0,98,228,51,0,62,803,1090,0,116,110,73,0,43,381,55,110,43,680,461,4849,422,0,88,811,149,156,1313,2,6,0,113,0,40,795,67,1000000,14728,1202,639,0,6415,0,11,0,10,0,100,4,33,931,599,1,14,0,38,0,88,0,491,928,5425,0,0,713,343,0,361,,,16,16,0,42,53,351,0,566,2535,4559,0,478,112,125,Zircon 5mm from nose short-beams,77,175
