File #,Serial #,Date,Time,Operator,Name,Latitude,Longitude,Altitude,Application,Method,CalFile1,Calfile2,CalFile3,Beam1,Beam2,Beam3,Elapsed,Sigma,Cal Check,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,ID,,
7,800N11536,2024/02/20,15:31:17,SERVICE,SiO2 normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.2,4.2,4,15,3,Passed,6827,5770,0,1584,877353,10990,12,148,0,156,0,108,258,84,0,48,9,124,0,61,22,34,24,26,135,25,1,9,11,9,5,5,1,3,0,3,0,66,4,3,2,4,1,3,2,4,6,8,1,4,0,31,,,12,31,0,0,4,28,54,117,24,23,27,31,64,140,299,467,31,17,11,93,0,66,0,20,25,33,0,21,10,28,3,15,3,18,9,13,0,0,1,4,,,
8,800N11536,2024/02/20,15:33:36,SERVICE,ZIC normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,3.2,3.4,2.3,15,3,Passed,9896,7981,50565,3240,243526,5900,0,818,0,284,0,131,814,117,2102,174,279016,4298,1446,841,0,194,1033,142,41284,553,1606,146,304,157,0,96,561,62,122,43,0,331,3,7,3,29,316,51,3173,106,356917,2045,955,142,0,996,,,0,16,238,144,0,51,679,346,13,21,21,51,80,159,1228,629,9733,2294,10228,326,0,290,0,121,,,0,24,2,47,0,86,217,152,1327,255,785,113,264,111,,,
9,800N11536,2024/02/20,15:35:25,SERVICE,Rutile normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,2.2,4.3,3.7,15,3,Passed,3062,7473,9436,2867,36355,3259,0,411,0,354,0,164,918,151,0,184,504097,2998,34047,1334,0,80,1504,40,1185,77,56,28,33,42,0,25,3,10,0,13,0,153,4,4,3,11,68,24,21,18,10394,353,5531,202,2052,374,0,17,0,13,,,0,57,1905,377,16,24,42,63,133,166,210,528,4155,1325,200042,312,0,165,60,56,43,39,0,15,11,30,0,37,21,55,32,38,715,44,83,68,,,
10,800N11536,2024/02/20,15:36:48,SERVICE,23104 2nd Ilmenite normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,2.2,4.3,3.6,15,3,Passed,10487,9045,13120,3242,9593,2352,0,425,0,347,0,168,728,141,0,193,318350,2394,12830,1068,0,289,4013,190,79388,613,2674,171,0,75,0,33,223,30,0,20,0,227,5,5,6,16,130,30,53,21,19830,500,1522,115,0,469,0,17,,,41,155,31,61,724,253,19,22,69,59,471,174,146,514,1435,1200,82658,215,0,161,0,66,26,50,,,1,30,0,58,256,114,121,77,336,78,90,63,,,
11,800N11536,2024/02/20,15:39:19,SERVICE,23104 Ilmenite normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,2.2,4.3,3.5,15,3,Passed,14256,9989,11794,3219,3440,2032,0,392,0,350,0,166,616,137,44,189,268345,2146,8720,992,0,158,3595,170,113432,730,3467,204,0,82,0,33,237,33,0,21,0,234,3,5,7,15,44,21,13,15,7280,302,707,79,1329,425,0,16,0,14,64,147,12,60,369,217,11,20,42,56,209,163,152,476,912,1112,65658,193,0,153,0,63,46,50,16,17,0,28,8,63,79,99,62,61,111,75,68,54,,,
12,800N11536,2024/02/20,15:40:21,SERVICE,Ilmenite normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,2.2,4.3,3.6,15,3,Passed,12869,9824,10756,3155,657,1915,0,375,0,392,0,167,677,138,0,173,274091,2153,10583,1015,0,151,3391,163,107001,709,3221,196,0,78,0,30,148,27,0,21,0,232,3,5,4,15,39,21,39,19,5430,261,820,83,1783,401,0,16,,,81,152,17,62,426,220,24,21,61,58,130,166,0,484,1482,1108,70290,198,0,141,0,61,51,50,10,17,0,27,0,60,21,89,41,55,106,68,86,59,,,
13,800N11536,2024/02/20,15:41:56,SERVICE,23104 non-mag con normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,3.3,2.9,1.8,15,3,Passed,2777,6292,1094,230,334016,6842,0,1128,0,257,0,134,700,124,0,119,646421,9644,4698,1125,0,143,508,89,2598,168,181,64,314,216,0,184,0,51,349,73,0,493,2,9,0,42,266,53,1237,73,810430,3993,2580,239,0,1692,42,21,0,11,47,115,0,40,1308,683,0,20,0,44,79,140,379,741,4026,3508,14198,329,0,350,0,213,34,73,28,29,0,53,37,141,62,205,1124,426,468,110,150,123,,,
14,800N11536,2024/02/20,15:42:55,SERVICE,HiTi normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,2.3,4.3,3.7,15,3,Passed,627,7244,16939,3351,66215,3993,0,438,0,372,0,157,1371,163,0,198,479222,2954,28132,1268,0,82,1336,43,2908,118,77,36,3,45,0,26,10,12,0,14,0,161,3,4,6,11,441,46,97,23,9385,318,5850,197,2021,346,,,,,0,165,13,56,1777,360,29,24,87,60,264,165,295,535,4728,1266,166984,282,0,155,127,59,32,42,0,14,25,33,2,39,76,63,81,41,806,48,107,68,,,
15,800N11536,2024/02/20,15:44:21,SERVICE,2408 Reup NM normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,3.8,2.3,1.1,15,3,Passed,5084,6439,0,0,398605,6921,0,1374,0,291,0,120,727,103,30,100,259029,9795,0,789,0,218,99,131,2083,195,190,87,582,460,3483,403,5,106,795,156,0,851,2,11,0,80,168,59,2041,102,1000000,6691,0,317,0,2726,,,0,15,,,2,40,577,741,0,19,0,44,0,145,2531,1108,12921,6764,1168,105,1031,501,0,406,,,32,39,0,81,31,221,0,386,6698,1499,707,199,264,158,,,
16,800N11536,2024/02/20,15:45:13,SERVICE,Zircon normal-cupped short-beams,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,4.1,1.9,0.7,15,3,Passed,7875,6118,0,0,233532,5071,0,1709,0,379,0,115,211,70,0,78,6770,4240,0,351,111,218,3,126,796,162,267,122,1102,959,8736,921,0,181,1465,341,97,1263,1,13,11,111,3,76,2179,129,1000000,12843,0,542,0,5290,,,12,17,87,137,0,48,934,1115,8,22,0,53,4,161,2071,1509,144,9699,0,0,2871,702,0,815,240,152,23,51,0,85,0,359,0,534,3332,2353,0,329,160,217,,,
