Assay #,PDZ,Serial #,Date,Time,Application,Method,Duration (Actual),Sanity Check,Info Fields (Combined),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Pd,Pd Err
0001,1,800N11536,2024/03/05,12:03:07,GeoExploration,Oxide3phase,26.41s,PASS,"SiO2 5mm from nose short-beams,42,70",8794,1255,0,322,228019,1578,0,41,0,49,0,33,226,17,0,18,10,18,0,15,20,9,13,6,64,6,0,3,17,9,15,5,3,2,0,2,0,38,2,1,0,3,7,3,0,3,0,17,2,11,2546,94,0,5,116,44,0,15,0,13,0,32,21,7,71,17,18,47,46,152,89,309,0,19,0,33,0,11,19,11,0,4,0,7,0,10,2,15,18,11,2,8,3,11,,
0002,2,800N11536,2024/03/05,12:03:54,GeoExploration,Oxide3phase,28.72s,PASS,"ZIC 5mm from nose short-beams,42,105",8127,1403,2889,147,40914,801,0,129,0,70,0,35,280,22,4,32,110797,850,441,124,0,31,249,21,10926,77,433,24,228,81,256,44,393,23,121,18,0,200,1,2,0,19,0,11,1570,26,717209,1889,1772,119,0,909,0,4,,,0,12,281,10,218,85,2,5,1,13,31,35,615,136,7798,837,910,41,0,70,0,57,71,19,,,0,10,0,56,0,102,2815,302,1058,100,87,34,0,3
0003,3,800N11536,2024/03/05,12:04:38,GeoExploration,Oxide3phase,26.44s,PASS,"Rutile 5mm from nose short-beams,42,140",7789,1330,1739,381,0,400,0,53,0,61,0,35,529,21,0,24,91032,377,0,178,0,13,252,6,287,12,0,4,75,27,0,14,18,6,0,5,108,118,1,1,9,8,11,5,6,4,8142,189,4287,110,0,314,0,4,0,38,2,13,0,10,7,35,6,5,23,14,61,36,79,120,1301,304,7396,24,0,33,0,27,66,9,0,3,8,6,21,32,0,41,76,38,589,35,17,15,0,4
0004,4,800N11536,2024/03/05,12:05:23,GeoExploration,Oxide3phase,27.26s,PASS,"23104 2nd Ilmenite 5mm from nose short-beams,42,175",8550,1380,1443,382,0,304,0,61,0,66,0,36,290,22,0,30,65237,322,0,153,0,45,798,27,17058,87,0,25,21,33,0,16,103,10,0,7,59,114,1,1,14,9,16,5,7,4,11060,226,1478,71,0,348,0,4,,,5,12,0,10,0,31,8,5,37,13,83,36,183,119,873,286,3915,24,0,32,0,29,41,10,0,3,22,7,15,29,38,56,132,42,264,40,26,15,0,4
0005,5,800N11536,2024/03/05,12:06:10,GeoExploration,Oxide3phase,28.01s,PASS,"23104 Ilmenite 5mm from nose short-beams,42,210",8379,1390,1673,374,0,274,0,53,0,65,0,36,302,22,0,29,55505,294,0,142,0,21,730,24,23008,101,0,29,35,35,0,16,102,10,0,7,0,139,1,1,12,10,6,4,5,3,5663,174,831,61,0,367,0,4,82,35,21,12,0,9,0,28,7,5,10,13,67,33,62,107,1102,269,2944,20,0,36,0,30,25,12,0,3,6,8,37,43,0,61,85,58,194,44,8,12,0,3
0006,6,800N11536,2024/03/05,12:06:55,GeoExploration,Oxide3phase,27.07s,PASS,"Ilmenite 5mm from nose short-beams,42,245",10459,1500,2261,420,0,300,0,58,0,70,0,37,325,23,0,29,65696,321,0,157,0,24,787,25,25316,107,0,30,39,33,0,14,91,10,0,6,40,146,1,1,11,9,9,4,16,4,4964,159,895,59,0,351,0,4,43,37,0,12,0,9,0,30,2,5,17,14,114,35,0,113,368,285,4122,21,0,30,0,28,32,12,0,3,16,8,0,38,0,53,116,76,125,41,23,14,0,4
0007,7,800N11536,2024/03/05,12:07:45,GeoExploration,Oxide3phase,28.11s,PASS,"23104 non-mag con 5mm from nose short-beams,77,70",8459,1317,86,27,53389,849,0,114,0,62,0,34,335,21,0,24,149899,1020,779,130,0,19,121,10,628,19,43,9,187,60,282,47,27,14,179,19,84,238,0,1,0,20,9,11,383,14,829472,2221,2845,136,0,1051,0,4,0,35,15,11,266,10,677,94,3,4,5,12,48,31,0,117,2990,749,1111,33,0,63,0,64,11,15,,,0,10,5,68,0,93,922,230,504,85,20,27,,
0008,8,800N11536,2024/03/05,12:08:29,GeoExploration,Oxide3phase,26.88s,PASS,"HiTi 5mm from nose short-beams,77,105",9627,1410,2571,419,3687,463,0,62,0,69,0,36,461,24,0,30,97356,392,0,185,0,14,278,7,707,18,0,6,79,25,0,14,19,6,0,6,0,102,1,1,14,8,52,7,13,5,7961,174,4499,103,0,265,0,4,77,40,12,13,0,10,49,36,4,5,40,15,70,38,80,124,1811,302,8397,28,0,37,0,30,71,11,0,3,0,8,42,29,53,42,75,31,646,31,26,16,0,4
0009,9,800N11536,2024/03/05,12:09:16,GeoExploration,Oxide3phase,28.31s,PASS,"2408 Reup NM 5mm from nose short-beams,77,140",9775,1287,0,0,91421,1044,0,174,0,65,0,34,298,20,0,24,76600,987,0,86,0,26,29,14,761,23,56,11,346,103,2040,82,65,23,385,31,229,264,1,2,10,26,0,12,818,20,1000000,3024,1176,149,0,1349,0,4,,,0,11,282,10,560,122,1,4,0,12,53,30,307,148,6603,1263,398,16,375,89,0,85,,,0,5,0,12,68,89,0,128,2237,247,921,122,106,35,,
0010,10,800N11536,2024/03/05,12:10:00,GeoExploration,Oxide3phase,26.52s,PASS,"Zircon 5mm from nose short-beams,77,175",9631,1336,0,0,42120,755,0,253,0,72,0,33,228,17,0,21,803,363,0,39,110,24,0,14,381,18,110,14,680,154,4849,141,0,29,811,50,156,438,2,2,0,38,0,13,795,22,1000000,4909,1202,213,0,2138,0,4,0,33,4,11,258,10,931,200,1,5,0,13,0,29,0,164,928,1808,0,0,713,114,0,120,,,16,5,0,14,53,117,0,189,2535,1520,0,159,112,42,0,3
