Element,Line,Type,Energy
Kr,Lb3,Escape Peak (Si),0.0066
Si,Ka2,Escape Peak (Si),0.0392
Si,Ka1,Escape Peak (Si),0.0398
Li,Ka3,Emission Line,0.0494
Rb,Lb1,Escape Peak (Si),0.051
Mg,Lb3,Emission Line,0.0876
Mg,Lb4,Emission Line,0.0876
Li,Ka3,Sum Peak (2x),0.0988
Be,Ka3,Emission Line,0.1035
Sr,La2,Escape Peak (Si),0.104
Sr,La1,Escape Peak (Si),0.1058
Be,Ka1,Emission Line,0.1085
Be,Ka2,Emission Line,0.1085
Al,Lb4,Emission Line,0.1158
Al,Lb3,Emission Line,0.1158
Rb,Lb4,Escape Peak (Si),0.1163
Rb,Lb3,Escape Peak (Si),0.1259
Si,Kb3,Escape Peak (Si),0.137
Si,Kb1,Escape Peak (Si),0.137
Si,Lb4,Emission Line,0.1477
Si,Lb3,Emission Line,0.1477
Sr,Lb1,Escape Peak (Si),0.171
Mg,Lb4,Sum Peak (2x),0.1752
Mg,Lb3,Sum Peak (2x),0.1752
B,Ka3,Emission Line,0.1754
P,Lb4,Emission Line,0.182
P,Lb3,Emission Line,0.183
B,Ka1,Emission Line,0.1833
B,Ka2,Emission Line,0.1833
Be,Ka3,Sum Peak (2x),0.207
Be,Ka2,Sum Peak (2x),0.217
Be,Ka1,Sum Peak (2x),0.217
Y,La2,Escape Peak (Si),0.2223
S,Lb4,Emission Line,0.2229
S,Lb3,Emission Line,0.2239
Y,La1,Escape Peak (Si),0.2242
Al,Lb3,Sum Peak (2x),0.2316
Al,Lb4,Sum Peak (2x),0.2316
Sr,Lb4,Escape Peak (Si),0.2357
Sr,Lb3,Escape Peak (Si),0.246
P,Ka3,Escape Peak (Si),0.2565
Cl,Lb4,Emission Line,0.26
Cl,Lb3,Emission Line,0.26
C,Ka3,Emission Line,0.2662
C,Ka1,Emission Line,0.277
C,Ka2,Emission Line,0.277
Si,Lb4,Sum Peak (2x),0.2954
Si,Lb3,Sum Peak (2x),0.2954
Y,Lb1,Escape Peak (Si),0.2983
P,Ka2,Escape Peak (Si),0.3095
Ar,Lb4,Emission Line,0.3104
