Time,Detector,Ambient,Nose
 '14:50:47',-27,33.9444436,27
 '14:52:04',-27.5,36.22222053,28
 '14:53:21',-27,37.72222307,28
 '14:54:38',-27,38.44444275,29
 '14:56:43',-27,38.5555564,30
 '14:58:00',-27,39.55555386,30
 '14:59:17',-27,40.33333249,31
 '15:00:35',-27,40.94444275,31
 '15:01:53',-27,41.33333418,32
 '15:03:10',-27,41.83333503,32
 '15:04:27',-27,42.05555386,33
 '15:05:50',-27,42.33333164,33
 '15:07:08',-27,42.94444614,34
 '15:08:25',-27,43.05555556,34
 '15:09:43',-27,43.22222392,35
 '15:11:00',-27,43.83333418,35
 '15:12:16',-27,44.22222137,35
 '15:13:33',-27,44.22222137,36
 '15:14:56',-27,44.44444444,36
 '15:16:13',-27,44.44444444,36
 '15:17:31',-27,44.94444529,37
 '15:18:47',-27,45.22222307,37
 '15:20:03',-27,45.55555556,37
 '15:21:21',-27,45.33333249,38
 '15:22:38',-27,45.94444275,37
 '15:24:01',-27,45.83333333,38
 '15:25:19',-27,46.22222053,38
 '15:26:36',-27,46.4444436,38
 '15:27:53',-27,47.05555386,39
 '15:29:11',-27,46.94444444,39
 '15:30:28',-27,46.94444444,39
 '15:31:46',-27,47.33333164,40
 '15:33:09',-27,47.33333164,40
 '15:34:28',-27,47.55555471,40
 '15:35:45',-27,47.22222222,40
 '15:37:02',-27,47.72222307,40
 '15:38:19',-27,47.72222307,41
 '15:39:37',-27,47.55555471,41
 '15:40:55',-27,48.22222392,41
 '15:42:17',-27,48.22222392,41
 '15:43:35',-27,48.05555556,41
 '15:44:53',-27,48.05555556,41
 '15:46:09',-27,48.5555564,42
 '15:47:26',-27,48.5555564,41
 '15:48:44',-27,48.83333418,42
 '15:50:02',-27,48.5555564,42
 '15:51:25',-27,48.22222392,42
 '15:52:42',-27,49.05555725,42
 '15:53:59',-27,48.83333418,42
 '15:55:16',-27,49.05555725,42
 '15:56:34',-27,48.9444436,42
 '15:57:51',-27,49.05555725,42
 '15:59:09',-27,49.05555725,42
 '16:00:32',-27,49.22222137,43
 '16:01:49',-27,49.44444444,42
 '16:03:07',-27,49.05555725,43
 '16:04:24',-27,49.44444444,43
 '16:05:42',-27,49.44444444,43
 '16:07:00',-27.5,49.44444444,43
 '16:08:17',-27,49.83333164,43
 '16:09:40',-27,49.72222222,43
 '16:10:58',-27,49.44444444,43
 '16:12:16',-27,49.55555386,44
 '16:13:33',-27,49.44444444,43
 '16:14:51',-27,49.94444529,44
 '16:16:08',-27.5,49.94444529,43
 '16:17:25',-27,49.94444529,44
 '16:18:48',-27,49.55555386,44
 '16:20:05',-27,50.22222307,44
 '16:21:23',-27.5,50.05555471,44
 '16:22:40',-27,50.05555471,44
