num,name,time,detectortemp,ambienttemp,nosetemp,rawcountstotal,validcountstotal
1,00001-GeoExploration.pdz,14:46:13,-27.0,31.944444444444443,29,7664550,6022777
2,00002-GeoExploration.pdz,14:47:27,-27.0,34.22222137451172,30,7684815,6032691
3,00003-GeoExploration.pdz,14:48:39,-27.0,35.72222391764323,30,7685602,6037200
4,00004-GeoExploration.pdz,14:49:52,-27.0,37.22222222222222,31,7670854,6027250
5,00005-GeoExploration.pdz,14:51:06,-27.0,37.722223069932724,32,7688886,6035568
6,00006-GeoExploration.pdz,14:52:19,-27.0,38.22222391764323,32,7688130,6036669
7,00007-GeoExploration.pdz,14:53:32,-27.0,39.22222137451172,33,7674000,6028418
8,00008-GeoExploration.pdz,14:54:45,-27.0,39.944445292154946,34,7673866,6028774
9,00009-GeoExploration.pdz,14:55:59,-27.0,40.94444274902344,35,7695854,6042719
10,00010-GeoExploration.pdz,14:57:12,-27.0,41.33333418104384,35,7682344,6032494
11,00011-GeoExploration.pdz,14:58:26,-27.0,42.055553860134545,36,7675104,6024668
12,00012-GeoExploration.pdz,14:59:39,-27.0,42.833332485622826,36,7688110,6036659
13,00013-GeoExploration.pdz,15:00:52,-27.0,42.833332485622826,37,7685290,6031919
14,00014-GeoExploration.pdz,15:02:06,-27.0,43.22222391764323,37,7693838,6035295
15,00015-GeoExploration.pdz,15:03:18,-27.0,44.05555725097656,37,7693455,6037495
16,00016-GeoExploration.pdz,15:04:31,-27.0,44.33333502875434,38,7687573,6033236
17,00017-GeoExploration.pdz,15:05:45,-27.0,45.055554707845054,39,7705697,6043295
18,00018-GeoExploration.pdz,15:06:58,-27.0,45.55555555555556,39,7703865,6044520
19,00019-GeoExploration.pdz,15:08:11,-27.0,45.44444613986545,40,7707979,6045822
20,00020-GeoExploration.pdz,15:09:23,-27.0,46.222220526801216,40,7694790,6035378
21,00021-GeoExploration.pdz,15:10:38,-27.0,46.44444359673394,41,7709098,6045510
22,00022-GeoExploration.pdz,15:11:51,-27.0,46.83333502875434,41,7714414,6050458
23,00023-GeoExploration.pdz,15:13:03,-27.0,47.444445292154946,41,7698694,6038034
24,00024-GeoExploration.pdz,15:14:17,-27.0,47.555554707845054,42,7708862,6042902
25,00025-GeoExploration.pdz,15:15:31,-27.0,47.94444613986545,42,7714166,6047851
26,00026-GeoExploration.pdz,15:16:44,-27.0,48.44444274902344,43,7718122,6051597
27,00027-GeoExploration.pdz,15:17:56,-27.0,48.94444359673394,43,7715983,6049853
28,00028-GeoExploration.pdz,15:19:08,-27.0,48.94444359673394,43,7706872,6044506
29,00029-GeoExploration.pdz,15:20:22,-27.0,49.22222137451172,44,7725522,6054280
30,00030-GeoExploration.pdz,15:21:35,-27.0,49.83333163791232,44,7714598,6045556
31,00031-GeoExploration.pdz,15:22:47,-27.0,49.944445292154946,45,7722955,6053914
32,00032-GeoExploration.pdz,15:24:01,-27.0,50.222223069932724,45,7719881,6048176
33,00033-GeoExploration.pdz,15:25:13,-27.0,50.44444613986545,45,7725697,6052092
34,00034-GeoExploration.pdz,15:26:26,-27.0,50.72222391764323,46,7731908,6056368
35,00035-GeoExploration.pdz,15:27:39,-27.0,50.72222391764323,46,7724238,6052212
36,00036-GeoExploration.pdz,15:28:51,-27.0,51.222220526801216,46,7718991,6048905
37,00037-GeoExploration.pdz,15:30:04,-27.0,51.33333418104384,47,7726942,6052776
38,00038-GeoExploration.pdz,15:31:17,-27.0,51.33333418104384,47,7734785,6057012
39,00039-GeoExploration.pdz,15:32:29,-27.0,51.83333502875434,47,7729358,6051955
40,00040-GeoExploration.pdz,15:33:42,-27.0,52.055553860134545,47,7725137,6053487
41,00041-GeoExploration.pdz,15:34:54,-27.0,52.55555470784505,48,7730291,6055318
42,00042-GeoExploration.pdz,15:36:07,-27.0,52.444445292154946,48,7732931,6055383
43,00043-GeoExploration.pdz,15:37:19,-27.0,52.722223069932724,48,7732950,6053421
44,00044-GeoExploration.pdz,15:38:32,-27.0,52.94444613986545,48,7738281,6061312
45,00045-GeoExploration.pdz,15:39:45,-27.0,53.05555555555556,49,7741069,6060686
46,00046-GeoExploration.pdz,15:40:57,-27.0,53.44444274902344,49,7735915,6056942
47,00047-GeoExploration.pdz,15:42:09,-27.0,53.55555216471354,49,7726131,6046730
48,00048-GeoExploration.pdz,15:43:23,-27.0,53.83332994249132,49,7740606,6057288
49,00049-GeoExploration.pdz,15:44:36,-27.0,53.944447835286454,50,7734535,6056002
50,00050-GeoExploration.pdz,15:45:49,-27.0,54.22222561306423,50,7728078,6049681
